Organisation Code,Name,Address,Contact Telephone Number,Number of patients registered at the GP practice,Latitude,Longitude,gp_pop_quintile
E83035,Wentworth Medical Practice.,"Wentworth Medical Pract., 38 Wentworth Avenue, Finchley Central, London, N3 1YL",020 83461242,6059,51.60774537334018,-0.1879232237226305,2
E83037,Derwent Crescent Medical Centre,"Derwent Crescent Med Ctr, 20 Derwent Crescent, Whetstone, London, N20 0QQ",020 84460171,51575,51.62290848492367,-0.17528509340869947,4
E83038,Jai Medical Centre,"114 Edgwarebury Lane, Edgware, Middlesex, HA8 8NB",03000 337861,6042,51.62204339383072,-0.2775421496035462,2
E83039,Ravenscroft Medical Centre,"Ravenscroft Medical Ctr, 166-168 Golders Green Rd, Golders Green, London, NW11 8BB",020 84552477,6795,51.57517769854452,-0.20258180530214984,2
E83041,Wakemans Hill Surgery,"Wakemans Hill Surgery, 1 Wakemans Hill Avenue, Colindale, London, NW9 0TA",020 82052336,5912,51.58708756098796,-0.25420917750626465,2
E83044,Addington Medical Centre,"Addington Medical Centre, 46 Station Road, New Barnet, Hertfordshire, EN5 1QH",020 84414425,3683,51.64965777348448,-0.176841994300828,0
E83045,Friern Barnet Medical Centre,"15/16 St Johns Villas, Friern Barnet Road, London, N11 3BU",020 83681707,2114,51.61327194920178,-0.15592708328214802,0
E83046,Mulberry Medical Practice,"3 Sefton Avenue, Mill Hill, London, NW7 3QB",020 89591868,7266,51.61486119307309,-0.2600335060144057,2
E83049,Langstone Way Surgery,"28 Langstone Way, Mill Hill, London, NW7 1GR",020 83432401,5395,51.6069814786374,-0.21081470964012147,1
E83050,East Finchley Medical Centre,"East Finchley Med Ctr, 39 Baronsmere Road, East Finchley, London, N2 9QD",020 88831458,5387,51.5881214111264,-0.16287875061658064,1
E83053,Lane End Medical Group,"Lane End Medical Group, 2 Penshurst Gardens, Edgware, Middlesex, HA8 9GJ",020 89584233,2291,51.615286915775,-0.27486578875984696,0
E83600,Adler Js-The Surgery,"682 Finchley Road, Golders Green, London, NW11 7NP",020 84559994,1704,51.57507415500611,-0.19596239914542116,0
E83613,East Barnet Health Centre,"East Barnet Health Centre, 149 East Barnet Road, New Barnet, Hertfordshire, EN4 8QZ",020 84407417,1952,51.6463392560728,-0.16642358102032914,0
E83621,Brunswick Park Medical Practice,"Brunswick Park Health Ctr, Brunswick Park Road, New Southgate, London, N11 1EY",020 83681568,3858,51.6292445669182,-0.14921093788741366,0
E83622,Temple Fortune Medical Group,"Temple Fortune Health Ctr, 23 Temple Fortune Lane, London, NW11 7TE",020 84584431,3520,51.58104346002451,-0.1977708386034647,0
E83637,Colindale Medical Centre Lp,"61 Colindeep Lane, Colindale, London, NW9 6DJ",020 82056798,17327,51.59129882317377,-0.2495724057776714,4
E83638,The Mountfield Surgery,"The Mountfield Surgery, 55 Mountfield Road, Finchley, London, N3 3NR",020 83464271,13946,51.595001372868865,-0.1942200410000751,4
E83639,Rosemary Surgery,"Rosemary Surgery, 2 Rosemary Avenue, Finchley, London, N3 2QN",020 83461997,9308,51.59689631772413,-0.1841534889676364,3
E83649,The Hodford Road Practice,"73 Hodford Road, London, NW11 8NH",020 89055234,4506,51.56903786826474,-0.19931814982024385,1
E83650,Gloucester Road Surgery,"1B Gloucester Road, New Barnet, Hertfordshire, EN5 1RS",020 84497677,7897,51.647272160652456,-0.1830519370238208,2
E83653,The Phoenix Practice,"7 Brampton Grove, Hendon, London, NW4 4AE",020 82029030,7867,51.587311205555075,-0.223568901055108,2
E83657,The Hillview Surgery,"Hillview Surgery, 114 Finchley Lane, Hendon, London, NW4 1DG",020 82030546,6472,51.58986850493654,-0.21490851195901545,2
E83666,Homeless Action In Barnet,"36B Woodhouse Road, North Finchley, London, N12 0RG",020 84468400,6428,51.61215005550681,-0.17447443746953875,2
E83668,Dr Sp Talpahewa,"Medical Centre, 156 Deans Lane, Edgware, Middlesex, HA8 9NT",020 89063337,3010,51.616115112042465,-0.2603033290242352,0
E84002,Forty Willows Surgery,"Forty Willows Surgery, 46 Forty Lane, Wembley Park, Middlesex, HA9 9HA",020 33763100,6462,51.565796620679684,-0.27143020095161563,2
E84003,Premier Medical Centre,"Wembley Centre For H&C, 116 Chaplin Road, Wembley, Middlesex, HA0 4UZ",020 87956150,19875,51.54971272307694,-0.3067853393354926,4
E84004,The Circle Practice,"The Circle Practice, Belmont Health Centre, 516 Kenton Lane, Harrow, Middlesex, HA3 7LT",020 84271213,2790,51.60111317242272,-0.3206132909914962,0
E84005,Kings Road Surgery,"204 Kings Road, South Harrow, Middlesex, HA2 9JH",020 84221667,6789,51.56760302298505,-0.3764760006814352,2
E84006,The Law Medical Group Practice,"The Law Medical Grp Prac, 9-11 Wrottesley Road, Willesden, London, NW10 5UY",020 38188441,8071,51.533870063176956,-0.23431561451215904,2
E84007,Uxendon Crescent Surgery,"1 Uxendon Crescent, Wembley, Middlesex, HA9 9TW",020 89043883,10536,51.57206281697861,-0.2928089648143144,3
E84008,Simpson House Medical Centre,"Simpson House Medical Ctr, 255/255A Eastcote Lane, South Harrow, Middlesex, HA2 8RS",020 88643466,5273,51.5616571228592,-0.3724318107901081,1
E84009,Enderley Road Medical Centre,"Enderley Road Medical Ctr, 41-45 Enderley Road, Harrow Weald, Middlesex, HA3 5HF",020 88633333,4862,51.601872147965146,-0.3404688416032806,1
E84011,St Andrews Medical Centre,"Greenhill Park Med.Ctr., Greenhill Park, Harlesden, London, NW10 9AR",020 84597755,3718,51.53840214515032,-0.2535348569130938,0
E84012,Mapesbury Medical Group,"The Windmill Med.Practice, 65 Shoot-Up-Hill, London, NW2 3PS",020 84527646,5884,51.55149628563144,-0.20947305539292,1
E84013,Church End Medical Centre,"Church End Medical Centre, 66 Mayo Road, Church End Estate, Willesden, London, NW10 9HP",020 89306262,4074,51.547970253980466,-0.25340316876818475,1
E84014,Bacon Lane Surgery,"Bacon Lane Surgery, 11 Bacon Lane, Edgware, Middlesex, HA8 5AT",020 89528073,13444,51.605077991936035,-0.2759025965434919,4
E84015,Willow Tree Family Doctors,"343B Stag Lane, London, NW9 9AD",020 82046464,6266,51.58933709407008,-0.26522415443000324,2
E84017,Sudbury & Alperton Medical Centre,"267 Ealing Road, Wembley, Middlesex, HA0 1EZ",020 89973486,11568,51.53691614694889,-0.29804636600839896,4
E84018,Streatfield Health Centre,"1 Streatfield Road, Kenton, Harrow, Middlesex, HA3 9BP",0844 4127378,5530,51.593811941409655,-0.3081200731143279,1
E84020,Jai Medical Centre (Brent),"82 Stag Lane, Edgware, Middlesex, HA8 5LP",0300 0337863,7596,51.59816766955307,-0.2707209199669252,2
E84021,The Willesden Medical Centre,"The Medical Centre, 144-150 High Road, Willesden, London, NW10 2PT",020 84595550,10338,51.54753179838683,-0.2338733060253205,3
E84022,Roxbourne Medical Centre,"Roxbourne Medical Centre, 37 Rayners Lane, South Harrow, Middlesex, HA2 0UE",020 84225602,5111,51.56737277304886,-0.3631376010310499,1
E84024,The Pinn Medical Centre,"Pinn Medical Centre, 37 Love Lane, Pinner, Harrow, Middlesex, HA5 3EE",020 88665766,8999,51.595072901445754,-0.3822535012583039,3
E84025,The Lonsdale Medical Centre,"The Lonsdale Medical Ctr., 24 Lonsdale Road, London, NW6 6RR",020 73288331,12467,51.53689727153655,-0.20448014959208455,4
E84028,The Stonebridge Practice,"Hillside Primary Care Ctr, 150 Hilltop Avenue, Harlesden, London, NW10 8RY",020 31887310,4391,51.54247225745874,-0.26360357101414056,1
E84030,Preston Hill Surgery,"Hillside Primary Cc, 150 Hilltop Avenue, Harlesden, London, NW10 8RY",020 31887270,10848,51.54247225745874,-0.26360357101414056,3
E84031,Brentfield Medical Centre,"Brentfield Medical Centre, 10 Kingfisher Way, Brentfield Road, London, NW10 8TF",020 88302396,4955,51.55058762728022,-0.2602512096976117,1
E84032,Ellis Practice,"Chalkhill Pcc-Welford Ctr, 113 Chalkhill Road, Wembley, Middlesex, HA9 9FX",020 87367198,9189,51.56384129999999,-0.2765068,3
E84033,Chalkhill Family Practice,"Chalkhill Pcc-Welford Ctr, 113 Chalkhill Road, Wembley, Middlesex, HA9 9FX",020 87367033,8731,51.56384129999999,-0.2765068,3
E84036,Gladstone Medical Centre,"Gladstone Medical Centre, 5 Dollis Hill Lane, London, NW2 6JH",020 81029108,13787,51.55873111974064,-0.2461201559884285,4
E84039,Honeypot Medical Centre,"Honeypot Medical Centre, 404 Honeypot Lane, Stanmore, Middlesex, HA7 1JP",020 82041363,5017,51.59698757264288,-0.2945456100392209,1
E84040,The Pinner Road Surgery,"196 Pinner Road, West Harrow, Middlesex, HA1 4JS",020 84270130,14967,51.58279438140462,-0.3528552318791035,4
E84042,Kilburn Park Medical Centre,"Kilburn Park Medical Ctr., 12 Cambridge Gardens, Kilburn, London, NW6 5AY",020 76242414,9461,51.53465088334364,-0.19348905341532108,3
E84044,The Northwick Surgery,"The Northwick Surgery, 36 Northwick Park Road, Harrow, Middlesex, HA1 2NU",020 85151300,8325,51.581780448880366,-0.3275757589131573,3
E84048,The Fryent Way Surgery,"22 Fryent Way, Kingsbury, London, NW9 9SB",020 82069910,5300,51.582962522289115,-0.28056475169077544,1
E84049,Brampton Health Centre,"5 Brampton Road, Kingsbury, London, NW9 9BY",020 82046219,7906,51.58609916946236,-0.2773861552256576,2
E84051,Stanley Corner Medical Centre,"The Stanley Corner Med Ct, 1-3 Stanley Avenue, Wembley, Middlesex, HA0 4JF",020 89023887,5987,51.54423454703765,-0.29655896440122004,2
E84053,Hatch End Medical Centre,"Hatch End Health Centre, 577 Uxbridge Road, Hatch End,Pinner, Middlesex, HA5 4RD",020 84280272,12704,51.606241599274966,-0.377076573635229,4
E84057,The Stanmore Medical Centre,"The Stanmore Medical Ctre, 85 Crowshott Avenue, Stanmore, Middlesex, HA7 1HS",020 89525043,7525,51.60154003411368,-0.3040207837742592,2
E84058,GP Direct,"GP Direct, 3-7 Welbeck Road, Harrow, Middlesex, HA2 0RQ",020 85159300,6307,51.57528460446906,-0.35853844800944346,2
E84059,The Allendale Road Surgery,"35 Allendale Road, Greenford, Middlesex, UB6 0RA",020 89028146,7154,51.551186099349955,-0.31982737965306024,2
E84061,Elliott Hall Medical Ctr.,"Elliott Hall Medical Ctr., 165/167 Uxbridge Road, Hatch End, Pinner,Middlesex, HA5 4EA",020 84284019,6255,51.608500460184146,-0.36364696992992496,2
E84062,The Shaftesbury Medical Centre,"The Shaftesbury Med Ctre, 39 Shaftesbury Parade, South Harrow, Middlesex, HA2 0AH",020 84235500,5081,51.57179586666667,-0.3540216666666667,1
E84063,Lancelot Medical Centre,"19 Lancelot Road, Wembley, Middlesex, HA0 2AL",020 89030609,10086,51.55290749752932,-0.2994978464198485,3
E84066,Hazeldene Medical Centre,"Hazeldene Medical Centre, 1B Wyld Way, Wembley, Middlesex, HA9 6PW",020 89024792,3885,51.547591934942325,-0.27539390010237697,0
E84067,Church Lane Surgery,"The Church Lane Surgery, 282 Church Lane, Kingsbury, London, NW9 8LU",020 82000077,8531,51.57493117227693,-0.2621648526265318,3
E84068,The Ridgeway Surgery,"The Ridgeway Surgery, 71 Imperial Drive, North Harrow, Middlesex, HA2 7DU",020 84272470,2279,51.581005315004425,-0.36510145084593776,0
E84069,Belmont Health Centre,"Belmont Health Centre, 516 Kenton Lane, Kenton, Harrow, Middlesex, HA3 7LT",020 88636863,4622,51.60111317242272,-0.3206132909914962,1
E84070,Pinner View Medical Centre,"Pinner View Medical Ctr., 33 Pinner View, Harrow, Middlesex, HA1 4QG",020 84271246,6794,51.58586903999589,-0.3502468525046582,2
E84074,Freuchen Medical Centre,"Freuchen Medical Centre, 190 High Street, Harlesden, London, NW10 4ST",020 89655174,4040,51.53453098272281,-0.24299886602805,1
E84075,Mollison Way Surgery,"45C-46 South Parade, Mollison Way, Edgware, Harrow, Middlesex, HA8 5QL",020 87324387,2265,51.597636614843985,-0.27863895706100844,0
E84076,Oxgate Gardens Surgery,"81 Oxgate Gardens, London, NW2 6EA",020 84327337,4012,51.564480595708964,-0.2277917126722951,1
E84078,Kingsbury Health And Wellbeing,"245 Stag Lane, Kingsbury, London, NW9 0EF",020 82040777,2702,51.59173323358778,-0.2655082258282455,0
E84080,Staverton Surgery,"Staverton Medical Centre, 51 Staverton Road, London, NW2 5HA",020 84591359,26,51.54418234276884,-0.225840339531533,0
E84083,Lanfranc Medical Centre,"Lanfranc Medical Centre, Lanfranc Court, Greenford Road,Harrow, Middlesex, HA1 3QE",020 84221813,11769,51.5615855543414,-0.3327458169671346,4
E84086,Walm Lane Surgery,"Walm Lane Surgery, 114 Walm Lane, Willesden Green, London, NW2 4RT",020 84520366,10436,51.550045399999995,-0.2196844,3
E84601,Kenton Bridge Medical Centre Dr Golden,"The Kenton Bridge Med Ctr, 155-175 Kenton Road, Kenton, Harrow, Middlesex, HA3 0YX",020 89076989,12871,51.582134750216596,-0.3165066794113948,4
E84617,The Civic Medical Centre,"The Civic Medical Centre, 18-20 Bethecar Road, Harrow, Middlesex, HA1 1SE",020 84279445,9425,51.58715486699644,-0.3374974169141679,3
E84620,Preston Road Surgery,"Preston Road Surgery, 56 Preston Road, Wembley, Middlesex, HA9 8LB",020 89046442,4591,51.56490863104341,-0.2924420913055699,1
E84626,The Sunflower Medical Centre,"116 Chaplin Road, Wembley, Middlesex, HA0 4UZ",020 87957979,10195,51.54971272307694,-0.3067853393354926,3
E84635,The Surgery,"The Surgery, 260-262 Harrow Road, Wembley, Middlesex, HA9 6QL",020 89020055,16070,51.55060216695862,-0.2819870404550941,4
E84637,Hilltop Medical Practice,"Hillside Primary Cc, 150 Hilltop Avenue, Harlesden, London, NW10 8RY",020 31887250,5144,51.54247225745874,-0.26360357101414056,1
E84638,Alperton Medical Centre,"Alperton Medical Centre, 32 Stanley Avenue, Wembley, Middlesex, HA0 4JB",020 89032379,5597,51.542795205879315,-0.2938052219421504,1
E84645,Park Royal Medical Practice,"Health & Well-Being Hub, Ctrl Mddx Hosp,Acton Lane, London, NW10 7NS",020 89611183,4128,51.531579782605895,-0.2675969708923669,1
E84646,The Streatfield Medical Centre,"The Medical Centre, 177 Streatfield Road, Harrow, Middlesex, HA3 9BL",020 82045561,10810,51.59534321504587,-0.3008298703344963,3
E84647,Kenton Clinic,"Kenton Clinic, 533A Kenton Road, Kenton, Harrow, Middlesex, HA3 0UQ",020 82042255,3231,51.58596813129345,-0.29241773047457786,0
E84653,Zain Medical Centre,"Edgware Community Hosp, Burnt Oak Broadway, Edgware, Middlesex, HA8 0AD",020 89523721,7534,51.6066065,-0.2705675011563491,2
E84656,Roundwood Park Medical Centre,"Willesden Ctr Hlth & Care, Robson Avenue, London, NW10 3RY",020 84387070,5173,51.542835679500065,-0.2355260950487559,1
E84658,Aspri Medical Centre,"Aspri Medical Centre, 1 Long Elmes, Harrow Weald, Middlesex, HA3 5LE",020 84279623,11206,51.60447070292612,-0.34300228568787944,3
E84663,Kenton Bridge Medical Centre - Dr Raja,"The Kenton Bridge Med Ctr, 155-175 Kenton Road, Kenton, Middlesex, HA3 0YX",020 89076989,5476,51.582134750216596,-0.3165066794113948,1
E84665,Neasden Medical Centre,"Neasden Medical Centre, 21 Tanfield Avenue, Neasden, London, NW2 7SA",020 82080306,4883,51.559300816589605,-0.2482294994926141,1
E84674,Chichele Road Surgery,"25 Chichele Road, Cricklewood, London, NW2 3AN",020 84524666,2597,51.554828017288344,-0.2162662498221428,0
E84676,Headstone Lane Medical Centre,"The Surgery, 238 Headstone Lane, North Harrow, Middlesex, HA2 6LY",020 84281211,2329,51.59901721200533,-0.3567732727723911,0
E84678,Preston Medical Centre,"Preston Medical Centre, 23 Preston Road, Wembley Park, Middlesex, HA9 8JZ",020 89043263,18980,51.56433511806382,-0.29257899906422563,4
E84680,Headstone Road Surgery,"Headstone Road Surgery, 107 Headstone Road, Harrow, Middlesex, HA1 1PG",020 88638923,9671,51.5837681676586,-0.34091197764592057,3
E84681,Savita Medical Centre,"48 Harrow View, Harrow, Middlesex, HA1 1RQ",020 84277172,7755,51.58654689700885,-0.3428316453964524,2
E84684,The Tudor House Medical Centre,"The Tudor House Med Ctre, 1 Chalkhill Road, Wembley Park, Middlesex, HA9 9DS",020 89043673,4398,51.564763886361476,-0.2647544519530191,1
E84685,Sudbury Surgery,"Sudbury Primary Care Ctr, Vale Farm, Watford Road, Wembley, Middlesex, HA0 3HG",020 31147100,12097,51.55821400734481,-0.3164091218851882,4
E84693,St. Peter'S Medical Centre,"St. Peter'S Medical Ctr., Colbeck Road, West Harrow, Middlesex, HA1 4BS",020 88644868,11721,51.576496585041724,-0.3507016825269184,4
E84699,Kings Edge Medical Centre,"Kings Edge Medical Centre, 132 Stag Lane, Kingsbury, London, NW9 0QP",020 82040151,5904,51.5949829525802,-0.2687917265418128,2
E84701,Pearl Medical Practice,"116 Chaplin Road, Wembley, Middlesex, HA0 4UZ",020 87956180,9263,51.54971272307694,-0.3067853393354926,3
E84702,Willesden Green Surgery,"Willesden Green Surgery, 59 Anson Road, London, NW2 3UY",020 82084141,11475,51.55377324842779,-0.21609114037261512,4
E84704,St. Georges Medical Centre,"St.Georges Medical Centre, Park Hill House, 9 Dollis Hill Lane, London, NW2 6JH",020 84504040,7569,51.55873111974064,-0.2461201559884285,2
E84709,Wembley Park Drive Medical Centre,"21 Wembley Park Drive, Wembley, Middlesex, HA9 8HD",020 89036033,14647,51.560468496620786,-0.2901125850861892,4
E84713,The Enterprise Practice,"Belmont Health Centre, 516 Kenton Lane, Kenton, Middlesex, HA3 7LT",020 33260686,12369,51.60111317242272,-0.3206132909914962,4
E85001,Thornbury Road Centre For Health,"Thornbury Rd Ctr For Hlth, Thornbury Road, Isleworth, Middlesex, TW7 4HQ",020 86301036,13505,51.47443226944922,-0.3454432291036295,4
E85003,North End Medical Centre,"North End Medical Centre, 160 North End Road, West Kensington, London, W14 9PR",020 73857777,5128,51.487801376593076,-0.20407606102040776,1
E85004,Albany Practice,"The Albany Practice, Brentford Health Centre, Boston Manor Road, Brentford, Middlesex, TW8 8DS",020 86303838,8113,51.486759701556615,-0.3100545265524113,2
E85005,"The Surgery, Dr Dasgupta & Partners","The Surgery, 13 Westway, Shepherds Bush, London, W12 0PT",020 87433704,15503,51.514205538119796,-0.2476290834501173,4
E85006,Waterside Medical Centre,"Waterside Medical Centre, Tyler Road, Southall, Middlesex, UB2 4XQ",020 85744454,12724,51.502164189556716,-0.3640053724310589,4
E85007,St. Margarets Practice,"The St.Margarets Practice, 237 St.Margarets Road, Twickenham, Middlesex, TW1 1NE",020 88921986,11025,51.45940272510521,-0.3230559685269895,3
E85008,North Fulham Surgery,"North Fulham Surgery, 82 Lillie Road, Fulham, London, SW6 1TN",020 74712650,13542,51.48641443151762,-0.19924778307463545,4
E85012,Ks Medical Centre,"Ks Medical Centre, 33 Dormers Wells Lane, Southall, Middlesex, UB1 3HY",020 85743986,6057,51.51374131036472,-0.36429683983034544,2
E85013,Westseven GP,"Hanwell Health Centre, 20 Church Road, Hanwell, London, W7 1DR",020 85797337,1,51.5092399,-0.3344178,0
E85014,Northfields Surgery,"Northfields Surgery, 61 Northfield Avenue, Ealing, London, W13 9QP",020 85671612,220,51.505139232485895,-0.3189539218715107,0
E85015,Hounslow Medical Centre,"Hounslow Medical Centre, 134 Bath Road, Hounslow, Middlesex, TW3 3ET",020 86301011,10424,51.470135,-0.37852399999999997,3
E85016,Richford Gate Medical Centre,"Richford Gate Med Pract, Richford Gate P.C.C., Richford Street, London, W6 7HY",020 33156655,7599,51.50043643343893,-0.22657435570529036,2
E85018,Dr Sood'S Practice,"Heston Health Centre, 25 Cranford Lane, Heston, Hounslow, Middlesex, TW5 9ER",020 86303410,15807,51.48396697712721,-0.3823860174622513,4
E85019,Crown Street Surgery,"Crown Street Surgery, 2 Lombard Ct,Crown Street, Acton, London, W3 8SA",020 89922010,9003,51.50739071832436,-0.2737996867342751,3
E85020,Brook Green Medical Centre,"Brook Green Medical Ctr, Bute Gardens, Hammersmith, London, W6 7EG",020 74713333,7092,51.49516253187306,-0.2209445428186752,2
E85021,Yeading Medical Centre,"Yeading Medical Centre, 18 Hughenden Gardens, Northolt, Middlesex, UB5 6LD",020 88453434,8036,51.533634218524675,-0.3970193966644798,2
E85023,Chepstow Gardens Medical Centre,"150 Lady Margaret Road, Southall, Middlesex, UB1 2RL",020 85742812,13646,51.51762380269074,-0.37514048476958095,4
E85024,Carlton Surgery,"The Surgery, 112 Hounslow Road, Feltham, Middlesex, TW14 0AX",020 88903930,13784,51.45333777158061,-0.4045973513389873,4
E85025,Cassidy Road Medical Centre,"651A Fulham Road, Fulham, London, SW6 5PX",020 73844850,6613,51.4791539277323,-0.19901531906261866,2
E85026,Gordon House Surgery,"Mattock Lane Health Ctr., 78 Mattock Lane, West Ealing, London, W13 9NZ",020 87995699,7568,51.5099294,-0.3152273,2
E85028,Hillcrest Surgery,"Hillcrest Surgery, 337 Uxbridge Road, Acton, London, W3 9RA",020 89930982,6426,51.50827767622365,-0.2790835391571768,2
E85029,"The Medical Centre, Dr Jefferies & Partn","The Medical Centre, 292 Munster Road, Fulham, London, SW6 6BQ",020 73851965,6176,51.481205710998566,-0.21263061294738386,2
E85030,Chiswick Health Practice,"Chiswick Health Centre, Fishers Lane, Chiswick, London, W4 1RX",020 86301600,3810,51.49356188368886,-0.259902101397666,0
E85032,Ashchurch Surgery,"The Ashchurch Surgery, 134 Askew Road, Shepherds Bush, London, W12 9BP",0844 4778673,6713,51.50190033333333,-0.2423954333333333,2
E85033,Hammersmith Surgery,"Hammersmith Surgery, 1 Hammersmith Bridge Road, Hammersmith, London, W6 9DU",020 87413944,20383,51.49096592444664,-0.2270715222516247,4
E85034,Grosvenor House Surgery,"Grosvenor House, 147 The Broadway, West Ealing, London, W13 9BE",020 87992525,11759,51.5095722,-0.32761209999999996,4
E85035,Mount Medical Centre,"Mount Medical Centre, 7 Market Parade, Hampton Rd West,Hanworth, Middlesex, TW13 6AJ",020 88938699,7055,51.44059950910055,-0.3877891714629155,2
E85038,"The Surgery, Dr Mangwana & Partners","Palace Surgery, 510 Fulham Palace Road, Fulham, London, SW6 6JD",020 77366305,4342,51.47628164005228,-0.21583274848549894,1
E85040,West4 GPs,"The Chiswick Health Ctr, Fishers Lane, Chiswick, London, W4 1RX",020 86303518,7310,51.49356188368886,-0.259902101397666,2
E85041,Hanwell Health Centre (Naish),"Hanwell Health Centre, 20 Church Road, Hanwell, London, W7 1DR",020 85675738,4510,51.5092399,-0.3344178,1
E85042,The New Surgery,"The New Surgery, 143A Uxbridge Road, Shepherds Bush, London, W12 9RD",020 87431511,9189,51.5060423,-0.2354806,3
E85045,Twickenham Park Medical Centre,"The Medical Centre, 192 Twickenham Road, Hanworth,Feltham, Middlesex, TW13 6HD",020 84817989,4844,51.436668217030636,-0.3752953566029777,1
E85046,Eastmead Avenue Surgery,"The Surgery, 20 Eastmead Avenue, Greenford, Middlesex, UB6 9RB",020 85781244,3545,51.531443319885035,-0.3627397483515439,0
E85048,"Dr Canisius & Dr Hasan, Parkview Cfh&W","56 Cranston Court, Bloemfontein Road, London, W12 7FG",020 37046055,3762,51.51084517882258,-0.2352203713869086,0
E85049,Belmont Medical Centre,"Belmont Medical Centre, 18/20 Western Road, Southall, Middlesex, UB2 5DU",020 88935515,10815,51.50084832988883,-0.3852030247003637,3
E85050,Greenford Road Med.Ctr.,"Greenford Road Med.Ctr., 591 Greenford Road, Greenford, Middlesex, UB6 8QH",020 85758347,2075,51.53769671894538,-0.3457023552216296,0
E85051,Greenford Avenue Fhp,"Greenford Ave Medical Ctr, 322 Greenford Avenue, Hanwell, London, W7 3AH",020 85781880,3237,51.52173066155942,-0.34027017647438695,0
